,team1Name,team1Score,team2Name,team2Score,result,winningOdds_team1,winningOdds_team2
49-50,Minnesota Twins,3,Seattle Mariners,4,Seattle Mariners,1.75,2.3
Jan-48,Cleveland Guardians,2,San Francisco Giants,4,San Francisco Giants,2.1,1.99
Feb-48,Miami Marlins,3,Philadelphia Phillies,10,Miami Marlins,1.83,2.32
Mar-48,Boston Red Sox,4,Minnesota Twins,0,Boston Red Sox,1.74,2.28
Apr-48,Kansas City Royals,3,Detroit Tigers,1,Kansas City Royals,1.74,2.41
May-48,San Diego Padres,2,Atlanta Braves,5,Atlanta Braves,1.96,2.01
Jun-48,Toronto Blue Jays,5,Oakland Athletics,7,Oakland Athletics,1.5,2.98
Jul-48,Chicago White Sox,3,Tampa Bay Rays,2,Chicago White Sox,1.79,2.25
Aug-48,New York Mets,2,Arizona Diamondbacks,3,Arizona Diamondbacks,1.64,2.46
Sep-48,Los Angeles Dodgers,3,Cincinnati Reds,1,Los Angeles Dodgers,1.42,3.5
Oct-48,Seattle Mariners,11,Houston Astros,1,Seattle Mariners,2.35,1.91
Nov-48,San Diego Padres,2,Atlanta Braves,5,Atlanta Braves,1.95,2.01
Dec-48,Colorado Rockies,6,Chicago Cubs,5,Colorado Rockies,1.86,2.14
48-13,Kansas City Royals,1,Detroit Tigers,2,Detroit Tigers,1.83,2.2
48-14,Milwaukee Brewers,1,St.Louis Cardinals,10,St.Louis Cardinals,1.83,2.44
48-15,Texas Rangers,6,Los Angeles Angels,9,Los Angeles Angels,2.1,1.9
Jan-47,San Diego Padres,6,Cincinnati Reds,0,San Diego Padres,1.56,2.7
Feb-47,Colorado Rockies,6,Philadelphia Phillies,9,Philadelphia Phillies,2.01,1.96
Mar-47,Los Angeles Dodgers,5,Atlanta Braves,1,Los Angeles Dodgers,1.82,2.21
Apr-47,Cleveland Guardians,11,Chicago White Sox,1,Cleveland Guardians,1.71,2.45
May-47,Milwaukee Brewers,4,Pittsburgh Pirates,2,Milwaukee Brewers,1.44,3.26
Jun-47,Los Angeles Dodgers,1,Atlanta Braves,3,Atlanta Braves,1.74,2.49
Jul-47,Oakland Athletics,2,Baltimore Orioles,1,Oakland Athletics,1.89,2.11
Aug-47,San Diego Padres,6,Cincinnati Reds,2,San Diego Padres,1.57,2.91
Sep-47,Seattle Mariners,6,Texas Rangers,2,Seattle Mariners,1.71,2.35
Oct-47,Colorado Rockies,6,Philadelphia Phillies,5,Colorado Rockies,2.21,1.8
Nov-47,Houston Astros,2,Los Angeles Angels,7,Los Angeles Angels,2.3,2.46
Dec-47,Kansas City Royals,4,Minnesota Twins,3,Kansas City Royals,2.25,1.82
47-13,Chicago Cubs,5,Tampa Bay Rays,6,Tampa Bay Rays,2.14,1.87
47-14,Milwaukee Brewers,5,Pittsburgh Pirates,2,Milwaukee Brewers,1.43,3.33
47-15,Boston Red Sox,2,Toronto Blue Jays,1,Boston Red Sox,2.25,2.24
47-16,Washington Nationals,1,Arizona Diamondbacks,0,Washington Nationals,1.83,2.13
47-17,Detroit Tigers,2,New York Yankees,4,New York Yankees,2.97,1.58
47-18,Miami Marlins,1,St.Louis Cardinals,5,St.Louis Cardinals,2.06,1.92
47-19,New York Mets,3,San Francisco Giants,1,New York Mets,1.83,2.11
47-20,New York Mets,5,San Francisco Giants,4,New York Mets,1.86,2.13
47-21,Washington Nationals,6,Arizona Diamondbacks,1,Washington Nationals,1.73,2.33
47-22,Los Angeles Dodgers,7,Atlanta Braves,4,Los Angeles Dodgers,1.66,3.05
47-23,Oakland Athletics,5,Baltimore Orioles,1,Oakland Athletics,1.55,2.73
47-24,San Diego Padres,4,Cincinnati Reds,1,San Diego Padres,1.6,2.71
47-25,Colorado Rockies,4,Philadelphia Phillies,1,Colorado Rockies,2.44,1.76
47-26,Houston Astros,8,Los Angeles Angels,3,Houston Astros,1.74,2.29
47-27,Chicago Cubs,4,Tampa Bay Rays,2,Chicago Cubs,2.34,1.86
47-28,Milwaukee Brewers,6,Pittsburgh Pirates,1,Milwaukee Brewers,1.57,2.95
47-29,Boston Red Sox,3,Minnesota Twins,8,Minnesota Twins,1.75,2.33
47-30,San Diego Padres,2,Atlanta Braves,1,San Diego Padres,1.81,2.24
47-31,Los Angeles Dodgers,9,Cincinnati Reds,1,Los Angeles Dodgers,1.52,2.85
47-32,Seattle Mariners,7,Houston Astros,2,Seattle Mariners,1.99,1.96
47-33,Colorado Rockies,4,Chicago Cubs,6,Chicago Cubs,1.82,2.21
47-34,Texas Rangers,3,Los Angeles Angels,8,Los Angeles Angels,2.03,1.96
47-35,Chicago White Sox,3,Tampa Bay Rays,9,Tampa Bay Rays,1.97,2.02
47-36,Milwaukee Brewers,6,St.Louis Cardinals,5,Milwaukee Brewers,1.78,2.26
47-37,Cleveland Guardians,1,San Francisco Giants,8,San Francisco Giants,2.15,1.84
47-38,Miami Marlins,11,Philadelphia Phillies,3,Philadelphia Phillies,2.31,1.73
47-39,New York Mets,5,Arizona Diamondbacks,0,New York Mets,1.54,2.75
47-40,Toronto Blue Jays,4,Oakland Athletics,3,Toronto Blue Jays,1.39,3.5
47-41,Boston Red Sox,8,Minnesota Twins,1,Boston Red Sox,1.85,2.2
47-42,Pittsburgh Pirates,5,Washington Nationals,3,Pittsburgh Pirates,2.14,1.83
47-43,Baltimore Orioles,5,New York Yankees,0,Baltimore Orioles,2.8,1.53
47-44,Los Angeles Dodgers,5,Cincinnati Reds,2,Los Angeles Dodgers,1.54,3.01
47-45,Seattle Mariners,0,Houston Astros,4,Houston Astros,2.39,1.83
47-46,Colorado Rockies,9,Chicago Cubs,6,Colorado Rockies,1.88,2.14
47-47,Milwaukee Brewers,1,St.Louis Cardinals,2,St.Louis Cardinals,1.89,2.07
47-48,Baltimore Orioles,2,New York Yankees,5,New York Yankees,2.75,1.57
47-49,Texas Rangers,2,Los Angeles Angels,7,Los Angeles Angels,2.22,1.86
47-50,Pittsburgh Pirates,6,Washington Nationals,4,Pittsburgh Pirates,2.15,2.02
Jan-46,Los Angeles Angels,4,Baltimore Orioles,5,Baltimore Orioles,1.54,3.32
Feb-46,San Diego Padres,3,Los Angeles Dodgers,2,San Diego Padres,2.28,1.8
Mar-46,Arizona Diamondbacks,5,New York Mets,2,Arizona Diamondbacks,2.45,1.68
Apr-46,Atlanta Braves,7,Miami Marlins,9,Miami Marlins,1.68,2.46
May-46,Detroit Tigers,2,Colorado Rockies,3,Colorado Rockies,2,2.32
Jun-46,Tampa Bay Rays,3,Boston Red Sox,2,Tampa Bay Rays,1.71,2.4
Jul-46,Cincinnati Reds,0,St.Louis Cardinals,5,St.Louis Cardinals,1.88,2.07
Aug-46,Houston Astros,2,Toronto Blue Jays,3,Toronto Blue Jays,2.19,1.82
Sep-46,Oakland Athletics,0,Texas Rangers,2,Texas Rangers,1.74,2.34
Oct-46,Minnesota Twins,9,Chicago White Sox,2,Minnesota Twins,1.7,2.35
Nov-46,Philadelphia Phillies,3,Milwaukee Brewers,5,Milwaukee Brewers,1.73,2.32
Dec-46,Chicago Cubs,21,Pittsburgh Pirates,0,Chicago Cubs,1.63,2.58
46-13,Detroit Tigers,13,Colorado Rockies,0,Detroit Tigers,1.86,2.29
46-14,New York Yankees,5,Cleveland Guardians,4,New York Yankees,1.56,2.74
46-15,Washington Nationals,2,San Francisco Giants,5,San Francisco Giants,2.57,1.6
46-16,Arizona Diamondbacks,5,New York Mets,6,New York Mets,2.13,1.84
46-17,Oakland Athletics,1,Texas Rangers,8,Texas Rangers,2.28,2.05
46-18,San Diego Padres,1,Los Angeles Dodgers,6,Los Angeles Dodgers,2.41,1.86
46-19,Seattle Mariners,4,Kansas City Royals,1,Seattle Mariners,1.79,2.25
46-20,Los Angeles Angels,3,Baltimore Orioles,5,Baltimore Orioles,1.57,3.08
46-21,Houston Astros,3,Toronto Blue Jays,4,Toronto Blue Jays,2.05,2.58
46-22,Minnesota Twins,2,Chicago White Sox,1,Minnesota Twins,2.03,2.1
46-23,Chicago Cubs,2,Pittsburgh Pirates,4,Pittsburgh Pirates,1.62,2.58
46-24,Atlanta Braves,3,Miami Marlins,0,Atlanta Braves,1.73,2.6
46-25,Tampa Bay Rays,3,Boston Red Sox,4,Boston Red Sox,1.72,2.39
46-26,New York Yankees,4,Cleveland Guardians,1,New York Yankees,1.59,2.73
46-27,Philadelphia Phillies,4,Milwaukee Brewers,2,Philadelphia Phillies,1.85,2.35
46-28,Washington Nationals,1,San Francisco Giants,7,San Francisco Giants,2.35,1.78
46-29,Cincinnati Reds,2,St.Louis Cardinals,4,St.Louis Cardinals,2.16,1.86
46-30,Seattle Mariners,6,Texas Rangers,8,Texas Rangers,1.84,2.15
46-31,Chicago Cubs,3,Pittsburgh Pirates,4,Pittsburgh Pirates,1.69,2.5
46-32,Miami Marlins,5,St.Louis Cardinals,0,Miami Marlins,1.82,2.21
46-33,Washington Nationals,3,Arizona Diamondbacks,4,Arizona Diamondbacks,1.81,2.18
46-34,Oakland Athletics,6,Baltimore Orioles,4,Oakland Athletics,1.78,2.24
46-35,Kansas City Royals,0,Minnesota Twins,1,Minnesota Twins,2.3,1.76
46-36,Boston Red Sox,2,Toronto Blue Jays,3,Toronto Blue Jays,2.02,1.92
46-37,Cleveland Guardians,6,Chicago White Sox,3,Cleveland Guardians,2.32,1.71
46-38,Detroit Tigers,3,New York Yankees,0,Detroit Tigers,2.58,1.65
46-39,New York Mets,6,San Francisco Giants,2,New York Mets,1.79,2.22
46-40,Seattle Mariners,4,Texas Rangers,2,Seattle Mariners,1.71,2.4
46-41,Kansas City Royals,2,Minnesota Twins,0,Kansas City Royals,2.15,1.83
46-42,Boston Red Sox,1,Toronto Blue Jays,6,Toronto Blue Jays,2.13,1.88
46-43,New York Mets,2,San Francisco Giants,5,San Francisco Giants,2.07,2
46-44,Washington Nationals,2,Arizona Diamondbacks,11,Washington Nationals,1.88,2.16
46-45,Detroit Tigers,3,New York Yankees,5,New York Yankees,2.51,1.63
46-46,Houston Astros,0,Los Angeles Angels,6,Los Angeles Angels,2.13,1.88
46-47,Miami Marlins,0,St.Louis Cardinals,2,St.Louis Cardinals,1.76,2.3
46-48,Chicago Cubs,2,Tampa Bay Rays,8,Tampa Bay Rays,2.01,1.98
46-49,Oakland Athletics,0,Baltimore Orioles,1,Baltimore Orioles,1.9,2.16
46-50,Cleveland Guardians,2,Chicago White Sox,1,Cleveland Guardians,1.81,2.14
Jan-45,Minnesota Twins,5,Detroit Tigers,0,Minnesota Twins,1.68,2.7
Feb-45,Atlanta Braves,3,Chicago Cubs,6,Chicago Cubs,1.55,2.82
Mar-45,Toronto Blue Jays,1,Boston Red Sox,7,Boston Red Sox,1.85,2.4
Apr-45,New York Yankees,5,Baltimore Orioles,2,New York Yankees,1.43,3.25
May-45,Washington Nationals,1,Miami Marlins,2,Miami Marlins,2.34,1.71
Jun-45,Philadelphia Phillies,7,Colorado Rockies,3,Philadelphia Phillies,1.52,2.85
Jul-45,Cincinnati Reds,5,San Diego Padres,8,San Diego Padres,2.51,1.86
Aug-45,Tampa Bay Rays,3,Seattle Mariners,2,Tampa Bay Rays,1.7,2.34
Sep-45,Pittsburgh Pirates,1,Milwaukee Brewers,3,Milwaukee Brewers,2.53,1.61
Oct-45,Arizona Diamondbacks,3,Los Angeles Dodgers,1,Arizona Diamondbacks,2.74,1.55
Nov-45,Chicago White Sox,7,Kansas City Royals,3,Chicago White Sox,1.56,2.8
Dec-45,St.Louis Cardinals,10,New York Mets,5,New York Mets,2.11,1.9
45-13,San Francisco Giants,8,Oakland Athletics,2,San Francisco Giants,1.41,3.26
45-14,Arizona Diamondbacks,5,Los Angeles Dodgers,3,Arizona Diamondbacks,3.02,1.5
45-15,Los Angeles Angels,4,Cleveland Guardians,1,Los Angeles Angels,1.61,2.67
45-16,Texas Rangers,1,Houston Astros,5,Houston Astros,2.1,1.94
45-17,St.Louis Cardinals,0,New York Mets,3,New York Mets,2.11,1.9
45-18,Minnesota Twins,5,Detroit Tigers,4,Minnesota Twins,1.71,2.55
45-19,Atlanta Braves,3,Chicago Cubs,1,Atlanta Braves,1.58,2.76
45-20,Chicago White Sox,0,Kansas City Royals,6,Kansas City Royals,1.68,2.45
45-21,Toronto Blue Jays,6,Boston Red Sox,5,Toronto Blue Jays,1.74,2.8
45-22,New York Yankees,12,Baltimore Orioles,8,Baltimore Orioles,1.38,3.5
45-23,Washington Nationals,2,Miami Marlins,5,Miami Marlins,2.2,1.79
45-24,Philadelphia Phillies,10,Colorado Rockies,3,Colorado Rockies,1.62,2.8
45-25,Cincinnati Reds,6,San Diego Padres,9,San Diego Padres,2.57,1.63
45-26,Tampa Bay Rays,4,Seattle Mariners,8,Seattle Mariners,1.81,2.21
45-27,Pittsburgh Pirates,8,Milwaukee Brewers,12,Pittsburgh Pirates,2.64,1.58
45-28,Arizona Diamondbacks,0,Los Angeles Dodgers,4,Los Angeles Dodgers,2.71,1.55
45-29,Los Angeles Angels,3,Cleveland Guardians,0,Los Angeles Angels,1.8,2.3
45-30,Texas Rangers,6,Houston Astros,2,Texas Rangers,2.24,1.83
45-31,St.Louis Cardinals,2,New York Mets,5,New York Mets,2.45,1.86
45-32,Toronto Blue Jays,6,Boston Red Sox,2,Toronto Blue Jays,1.81,2.55
45-33,Philadelphia Phillies,8,Colorado Rockies,2,Philadelphia Phillies,1.66,2.66
45-34,Milwaukee Brewers,2,San Francisco Giants,4,San Francisco Giants,1.55,2.76
45-35,Philadelphia Phillies,0,Milwaukee Brewers,1,Milwaukee Brewers,1.74,2.3
45-36,Arizona Diamondbacks,2,New York Mets,6,New York Mets,2.6,1.59
45-37,San Diego Padres,2,Los Angeles Dodgers,10,San Diego Padres,2.54,1.64
45-38,Seattle Mariners,5,Kansas City Royals,4,Seattle Mariners,1.55,2.87
45-39,Los Angeles Angels,7,Baltimore Orioles,6,Los Angeles Angels,1.52,2.87
45-40,Oakland Athletics,2,Texas Rangers,0,Oakland Athletics,2.09,1.93
45-41,Chicago Cubs,3,Pittsburgh Pirates,4,Pittsburgh Pirates,1.68,2.48
45-42,Houston Astros,8,Toronto Blue Jays,7,Houston Astros,1.81,2.2
45-43,Minnesota Twins,6,Chicago White Sox,4,Minnesota Twins,2.03,1.94
45-44,Cincinnati Reds,4,St.Louis Cardinals,1,Cincinnati Reds,2.5,1.67
45-45,Atlanta Braves,4,Miami Marlins,5,Miami Marlins,1.8,2.25
45-46,New York Yankees,10,Cleveland Guardians,2,Cleveland Guardians,1.49,2.98
45-47,Washington Nationals,3,San Francisco Giants,12,Washington Nationals,2.7,1.57
45-48,Detroit Tigers,2,Colorado Rockies,6,Colorado Rockies,1.81,2.21
45-49,Tampa Bay Rays,5,Boston Red Sox,2,Tampa Bay Rays,1.58,2.68
45-50,Seattle Mariners,13,Kansas City Royals,7,Kansas City Royals,0,0
Jan-44,Toronto Blue Jays,3,Houston Astros,2,Toronto Blue Jays,1.62,2.66
Feb-44,Pittsburgh Pirates,2,San Diego Padres,5,San Diego Padres,2.61,1.58
Mar-44,Tampa Bay Rays,3,Minnesota Twins,9,Minnesota Twins,1.81,2.2
Apr-44,Baltimore Orioles,9,Boston Red Sox,5,Baltimore Orioles,2.3,1.74
May-44,Los Angeles Dodgers,1,Detroit Tigers,5,Detroit Tigers,1.38,4.11
Jun-44,Colorado Rockies,4,Cincinnati Reds,3,Colorado Rockies,1.73,2.34
Jul-44,Kansas City Royals,0,New York Yankees,3,New York Yankees,3.17,1.54
Aug-44,Milwaukee Brewers,9,Chicago Cubs,1,Milwaukee Brewers,1.63,2.7
Sep-44,New York Mets,1,Philadelphia Phillies,4,Philadelphia Phillies,1.78,2.55
Oct-44,Baltimore Orioles,2,Boston Red Sox,1,Baltimore Orioles,2.69,1.64
Nov-44,Texas Rangers,3,Atlanta Braves,1,Texas Rangers,2.05,1.9
Dec-44,Pittsburgh Pirates,7,San Diego Padres,6,Pittsburgh Pirates,2.7,1.65
44-13,Miami Marlins,3,Seattle Mariners,1,Miami Marlins,1.96,2.02
44-14,Tampa Bay Rays,1,Minnesota Twins,9,Minnesota Twins,1.51,2.87
44-15,Oakland Athletics,1,Cleveland Guardians,3,Cleveland Guardians,2.39,1.69
44-16,Chicago White Sox,4,Los Angeles Angels,0,Chicago White Sox,1.91,2.11
44-17,San Francisco Giants,9,Washington Nationals,3,San Francisco Giants,1.45,3.15
44-18,Toronto Blue Jays,2,Houston Astros,1,Toronto Blue Jays,1.68,2.47
44-19,St.Louis Cardinals,0,Arizona Diamondbacks,2,Arizona Diamondbacks,1.67,2.48
44-20,San Francisco Giants,4,Washington Nationals,14,San Francisco Giants,1.48,3.12
44-21,Los Angeles Dodgers,5,Detroit Tigers,1,Los Angeles Dodgers,1.42,3.5
44-22,Oakland Athletics,8,Cleveland Guardians,9,Cleveland Guardians,2.4,2.46
44-23,Colorado Rockies,10,Cincinnati Reds,4,Cincinnati Reds,1.89,2.14
44-24,St.Louis Cardinals,2,Arizona Diamondbacks,6,Arizona Diamondbacks,1.57,2.75
44-25,Kansas City Royals,2,New York Yankees,12,Kansas City Royals,2.93,1.53
44-26,Milwaukee Brewers,11,Chicago Cubs,1,Milwaukee Brewers,1.77,2.35
44-27,Texas Rangers,3,Atlanta Braves,6,Atlanta Braves,2.17,1.86
44-28,Chicago White Sox,1,Los Angeles Angels,5,Los Angeles Angels,1.83,2.34
44-29,New York Mets,3,Philadelphia Phillies,0,New York Mets,1.88,2.2
44-30,Tampa Bay Rays,6,Minnesota Twins,1,Tampa Bay Rays,1.78,2.21
44-31,Toronto Blue Jays,7,Houston Astros,11,Toronto Blue Jays,1.84,2.15
44-32,Baltimore Orioles,1,Boston Red Sox,3,Boston Red Sox,2.16,1.86
44-33,Miami Marlins,8,Seattle Mariners,6,Miami Marlins,2,1.96
44-34,Pittsburgh Pirates,3,San Diego Padres,7,San Diego Padres,2.62,1.6
44-35,St.Louis Cardinals,8,Arizona Diamondbacks,3,St.Louis Cardinals,1.62,2.64
44-36,Atlanta Braves,5,Chicago Cubs,1,Atlanta Braves,1.5,2.87
44-37,Los Angeles Angels,4,Cleveland Guardians,1,Los Angeles Angels,1.71,2.39
44-38,Toronto Blue Jays,1,Boston Red Sox,0,Toronto Blue Jays,1.74,2.33
44-39,Chicago White Sox,2,Kansas City Royals,5,Kansas City Royals,1.62,2.61
44-40,Texas Rangers,2,Houston Astros,3,Houston Astros,2.55,1.64
44-41,Minnesota Twins,7,Detroit Tigers,1,Minnesota Twins,1.79,2.26
44-42,Tampa Bay Rays,2,Seattle Mariners,1,Tampa Bay Rays,1.69,2.37
44-43,New York Yankees,10,Baltimore Orioles,5,Baltimore Orioles,1.47,3.32
44-44,Philadelphia Phillies,7,Colorado Rockies,1,Philadelphia Phillies,1.53,2.82
44-45,Washington Nationals,2,Miami Marlins,3,Miami Marlins,2.3,1.73
44-46,Cincinnati Reds,5,San Diego Padres,7,San Diego Padres,1.99,1.99
44-47,Pittsburgh Pirates,2,Milwaukee Brewers,3,Milwaukee Brewers,2.39,1.68
44-48,San Francisco Giants,0,Oakland Athletics,1,Oakland Athletics,1.66,2.61
44-49,Los Angeles Angels,9,Cleveland Guardians,5,Los Angeles Angels,1.62,3.02
44-50,Texas Rangers,3,Houston Astros,4,Houston Astros,2.45,1.97
Jan-43,Los Angeles Dodgers,9,San Francisco Giants,1,Los Angeles Dodgers,1.6,2.58
Feb-43,Colorado Rockies,5,Washington Nationals,2,Colorado Rockies,1.74,2.46
Mar-43,Chicago Cubs,3,Chicago White Sox,4,Chicago White Sox,2.27,1.76
Apr-43,Milwaukee Brewers,18,Cincinnati Reds,4,Cincinnati Reds,1.47,3.74
May-43,Boston Red Sox,5,Los Angeles Angels,10,Boston Red Sox,2.25,2.24
Jun-43,Toronto Blue Jays,2,New York Yankees,1,Toronto Blue Jays,2.39,1.71
Jul-43,Baltimore Orioles,9,Minnesota Twins,4,Baltimore Orioles,2.26,1.75
Aug-43,Philadelphia Phillies,1,Texas Rangers,2,Texas Rangers,1.57,2.73
Sep-43,Detroit Tigers,2,Pittsburgh Pirates,7,Pittsburgh Pirates,1.75,2.32
Oct-43,Cleveland Guardians,6,San Diego Padres,5,Cleveland Guardians,2.25,1.79
Nov-43,Oakland Athletics,0,Tampa Bay Rays,3,Tampa Bay Rays,2.2,1.84
Dec-43,Houston Astros,7,Seattle Mariners,2,Houston Astros,1.46,3.26
43-13,Cleveland Guardians,4,San Diego Padres,5,San Diego Padres,2.25,1.85
43-14,Detroit Tigers,3,Pittsburgh Pirates,2,Detroit Tigers,1.73,2.49
43-15,Kansas City Royals,0,St.Louis Cardinals,10,St.Louis Cardinals,2.29,1.76
43-16,New York Mets,2,Atlanta Braves,9,Atlanta Braves,1.8,2.26
43-17,Miami Marlins,7,Arizona Diamondbacks,8,Arizona Diamondbacks,1.65,2.54
43-18,Los Angeles Dodgers,3,San Francisco Giants,1,Los Angeles Dodgers,1.73,2.34
43-19,Oakland Athletics,7,Tampa Bay Rays,10,Oakland Athletics,2.13,1.84
43-20,Colorado Rockies,2,Washington Nationals,10,Colorado Rockies,1.71,2.43
43-21,Houston Astros,4,Seattle Mariners,0,Houston Astros,1.67,2.65
43-22,Kansas City Royals,7,St.Louis Cardinals,1,Kansas City Royals,2.2,1.95
43-23,Chicago Cubs,1,Chicago White Sox,3,Chicago White Sox,2.21,1.78
43-24,Milwaukee Brewers,6,Cincinnati Reds,3,Milwaukee Brewers,1.45,3.2
43-25,Boston Red Sox,4,Los Angeles Angels,0,Boston Red Sox,2.18,1.84
43-26,Toronto Blue Jays,1,New York Yankees,9,New York Yankees,2,2.3
43-27,Baltimore Orioles,2,Minnesota Twins,7,Minnesota Twins,2.53,1.74
43-28,Philadelphia Phillies,4,Texas Rangers,6,Texas Rangers,1.72,2.67
43-29,Miami Marlins,4,Arizona Diamondbacks,5,Arizona Diamondbacks,1.74,2.79
43-30,New York Mets,3,Atlanta Braves,0,New York Mets,1.93,1.99
43-31,New York Mets,5,Atlanta Braves,4,New York Mets,2,1.99
43-32,Oakland Athletics,1,Tampa Bay Rays,6,Tampa Bay Rays,2.5,1.63
43-33,Houston Astros,3,Seattle Mariners,0,Houston Astros,1.75,2.32
43-34,New York Mets,2,Atlanta Braves,5,Atlanta Braves,1.97,1.99
43-35,Toronto Blue Jays,2,New York Yankees,3,New York Yankees,2.06,2.15
43-36,Baltimore Orioles,1,Minnesota Twins,2,Minnesota Twins,2.55,1.7
43-37,Miami Marlins,4,Arizona Diamondbacks,5,Arizona Diamondbacks,1.62,2.56
43-38,Chicago White Sox,3,Los Angeles Angels,0,Chicago White Sox,1.74,2.41
43-39,St.Louis Cardinals,1,Kansas City Royals,0,St.Louis Cardinals,1.68,2.51
43-40,New York Mets,10,Philadelphia Phillies,6,Philadelphia Phillies,1.57,2.74
43-41,Los Angeles Dodgers,6,Detroit Tigers,3,Los Angeles Dodgers,1.39,3.38
43-42,Oakland Athletics,3,Cleveland Guardians,7,Cleveland Guardians,2.11,1.88
43-43,San Francisco Giants,5,Washington Nationals,11,San Francisco Giants,1.61,2.64
43-44,Colorado Rockies,10,Cincinnati Reds,1,Colorado Rockies,1.66,2.45
43-45,Texas Rangers,7,Atlanta Braves,3,Texas Rangers,2.3,1.73
43-46,St.Louis Cardinals,7,Arizona Diamondbacks,5,St.Louis Cardinals,1.6,2.68
43-47,Chicago White Sox,5,Los Angeles Angels,6,Los Angeles Angels,2.11,1.88
43-48,Kansas City Royals,4,New York Yankees,6,New York Yankees,2.8,1.54
43-49,Milwaukee Brewers,0,Chicago Cubs,2,Chicago Cubs,1.47,3.08
43-50,Miami Marlins,3,Seattle Mariners,7,Seattle Mariners,1.81,2.17
Jan-42,New York Yankees,2,Texas Rangers,4,Texas Rangers,1.53,3.12
Feb-42,Arizona Diamondbacks,4,Colorado Rockies,0,Arizona Diamondbacks,1.68,2.46
Mar-42,San Diego Padres,3,Miami Marlins,2,San Diego Padres,1.68,2.42
Apr-42,Seattle Mariners,2,Tampa Bay Rays,1,Seattle Mariners,1.92,2.06
May-42,Los Angeles Angels,5,Washington Nationals,4,Los Angeles Angels,1.52,2.98
Jun-42,San Francisco Giants,4,St.Louis Cardinals,3,San Francisco Giants,1.79,2.24
Jul-42,Philadelphia Phillies,1,New York Mets,6,New York Mets,2.35,1.7
Aug-42,Houston Astros,5,Detroit Tigers,0,Houston Astros,1.57,2.74
Sep-42,Minnesota Twins,4,Oakland Athletics,3,Minnesota Twins,1.68,2.53
Oct-42,Cincinnati Reds,7,Pittsburgh Pirates,3,Cincinnati Reds,1.75,2.34
Nov-42,Cleveland Guardians,4,Toronto Blue Jays,3,Cleveland Guardians,2.8,1.52
Dec-42,Atlanta Braves,9,Milwaukee Brewers,2,Atlanta Braves,1.79,2.3
42-13,Baltimore Orioles,4,Kansas City Royals,6,Kansas City Royals,2.01,2.17
42-14,New York Yankees,2,Texas Rangers,1,New York Yankees,1.51,3.15
42-15,Philadelphia Phillies,3,New York Mets,2,Philadelphia Phillies,2.39,1.7
42-16,Boston Red Sox,2,Chicago White Sox,3,Chicago White Sox,1.62,2.55
42-17,Seattle Mariners,2,Tampa Bay Rays,8,Tampa Bay Rays,2.21,1.8
42-18,Los Angeles Angels,3,Washington Nationals,7,Washington Nationals,1.63,2.67
42-19,San Diego Padres,0,Miami Marlins,8,Miami Marlins,1.88,2.45
42-20,Arizona Diamondbacks,1,Colorado Rockies,4,Colorado Rockies,1.84,2.2
42-21,Chicago Cubs,2,Los Angeles Dodgers,6,Los Angeles Dodgers,2.55,1.68
42-22,Atlanta Braves,3,Milwaukee Brewers,2,Atlanta Braves,2,2
42-23,San Francisco Giants,13,St.Louis Cardinals,7,St.Louis Cardinals,1.79,2.28
42-24,Cincinnati Reds,5,Pittsburgh Pirates,8,Pittsburgh Pirates,2.11,1.81
42-25,Cleveland Guardians,8,Toronto Blue Jays,2,Cleveland Guardians,2.29,1.77
42-26,Boston Red Sox,1,Chicago White Sox,3,Chicago White Sox,2.25,1.81
42-27,Houston Astros,3,Detroit Tigers,2,Houston Astros,1.54,2.8
42-28,Cleveland Guardians,3,Toronto Blue Jays,8,Toronto Blue Jays,2.41,1.78
42-29,Minnesota Twins,1,Oakland Athletics,0,Minnesota Twins,1.5,2.9
42-30,Chicago Cubs,0,Los Angeles Dodgers,7,Los Angeles Dodgers,3.1,1.54
42-31,Cincinnati Reds,9,Pittsburgh Pirates,2,Cincinnati Reds,2.05,1.88
42-32,San Francisco Giants,2,St.Louis Cardinals,3,St.Louis Cardinals,1.78,2.32
42-33,Arizona Diamondbacks,4,Colorado Rockies,1,Arizona Diamondbacks,1.9,2.34
42-34,San Diego Padres,3,Miami Marlins,2,San Diego Padres,1.81,2.23
42-35,Seattle Mariners,7,Tampa Bay Rays,8,Tampa Bay Rays,2.05,2.2
42-36,Los Angeles Angels,3,Washington Nationals,0,Los Angeles Angels,1.59,2.7
42-37,Houston Astros,3,Detroit Tigers,2,Houston Astros,1.54,3.12
